cohort_month,months_since_first,cohort_size,retained,retention_rate
2016-09-01,0.0,4,4,1.0
2016-10-01,0.0,321,321,1.0
2016-10-01,6.066666666666666,1,1,1.0
2016-10-01,9.1,1,1,1.0
2016-10-01,11.166666666666666,1,1,1.0
2016-10-01,13.2,1,1,1.0
2016-10-01,15.233333333333333,1,1,1.0
2016-10-01,17.2,1,1,1.0
2016-10-01,19.233333333333334,2,2,1.0
2016-10-01,20.266666666666666,2,2,1.0
2016-12-01,0.0,1,1,1.0
2016-12-01,1.0333333333333332,1,1,1.0
2017-01-01,0.0,764,764,1.0
2017-01-01,1.0333333333333332,3,3,1.0
2017-01-01,1.9666666666666668,2,2,1.0
2017-01-01,3.0,1,1,1.0
2017-01-01,4.0,3,3,1.0
2017-01-01,5.033333333333333,1,1,1.0
2017-01-01,6.033333333333333,4,4,1.0
2017-01-01,7.066666666666666,1,1,1.0
2017-01-01,8.1,1,1,1.0
2017-01-01,10.133333333333333,3,3,1.0
2017-01-01,11.133333333333333,1,1,1.0
2017-01-01,12.166666666666666,6,6,1.0
2017-01-01,13.2,3,3,1.0
2017-01-01,14.133333333333333,1,1,1.0
2017-01-01,15.166666666666666,1,1,1.0
2017-01-01,16.166666666666668,2,2,1.0
2017-01-01,17.2,3,3,1.0
2017-01-01,19.233333333333334,1,1,1.0
2017-02-01,0.0,1752,1752,1.0
2017-02-01,0.9333333333333333,4,4,1.0
2017-02-01,1.9666666666666668,5,5,1.0
2017-02-01,2.966666666666667,2,2,1.0
2017-02-01,4.0,7,7,1.0
2017-02-01,5.0,2,2,1.0
2017-02-01,6.033333333333333,4,4,1.0
2017-02-01,7.066666666666666,3,3,1.0
2017-02-01,8.066666666666666,3,3,1.0
2017-02-01,9.1,4,4,1.0
2017-02-01,10.1,2,2,1.0
2017-02-01,11.133333333333333,5,5,1.0
2017-02-01,12.166666666666666,3,3,1.0
2017-02-01,13.1,3,3,1.0
2017-02-01,14.133333333333333,2,2,1.0
2017-02-01,15.133333333333333,1,1,1.0
2017-02-01,16.166666666666668,1,1,1.0
2017-02-01,17.166666666666668,4,4,1.0
2017-03-01,0.0,2636,2636,1.0
2017-03-01,1.0333333333333332,13,13,1.0
2017-03-01,2.033333333333333,10,10,1.0
2017-03-01,3.066666666666667,10,10,1.0
2017-03-01,4.066666666666666,9,9,1.0
2017-03-01,5.1,4,4,1.0
2017-03-01,6.133333333333333,4,4,1.0
2017-03-01,7.133333333333333,8,8,1.0
2017-03-01,8.166666666666666,9,9,1.0
2017-03-01,9.166666666666666,2,2,1.0
2017-03-01,10.2,10,10,1.0
2017-03-01,11.233333333333333,4,4,1.0
2017-03-01,12.166666666666666,6,6,1.0
2017-03-01,13.2,3,3,1.0
2017-03-01,14.2,4,4,1.0
2017-03-01,15.233333333333333,6,6,1.0
2017-03-01,16.233333333333334,2,2,1.0
2017-03-01,17.266666666666666,4,4,1.0
2017-04-01,0.0,2352,2352,1.0
2017-04-01,1.0,14,14,1.0
2017-04-01,2.033333333333333,5,5,1.0
2017-04-01,3.033333333333333,4,4,1.0
2017-04-01,4.066666666666666,8,8,1.0
2017-04-01,5.1,6,6,1.0
2017-04-01,6.1,8,8,1.0
2017-04-01,7.133333333333333,7,7,1.0
2017-04-01,8.133333333333333,7,7,1.0
2017-04-01,9.166666666666666,4,4,1.0
2017-04-01,10.2,6,6,1.0
2017-04-01,11.133333333333333,2,2,1.0
2017-04-01,12.166666666666666,2,2,1.0
2017-04-01,13.166666666666666,1,1,1.0
2017-04-01,14.2,2,2,1.0
2017-04-01,15.2,2,2,1.0
2017-04-01,16.233333333333334,5,5,1.0
2017-05-01,0.0,3596,3596,1.0
2017-05-01,1.0333333333333332,18,18,1.0
2017-05-01,2.033333333333333,18,18,1.0
2017-05-01,3.066666666666667,14,14,1.0
2017-05-01,4.1,11,11,1.0
2017-05-01,5.1,12,12,1.0
2017-05-01,6.133333333333333,15,15,1.0
2017-05-01,7.133333333333333,6,6,1.0
2017-05-01,8.166666666666666,9,9,1.0
2017-05-01,9.2,11,11,1.0
2017-05-01,10.133333333333333,9,9,1.0
2017-05-01,11.166666666666666,12,12,1.0
2017-05-01,12.166666666666666,9,9,1.0
2017-05-01,13.2,1,1,1.0
2017-05-01,14.2,7,7,1.0
2017-05-01,15.233333333333333,9,9,1.0
2017-06-01,0.0,3139,3139,1.0
2017-06-01,1.0,15,15,1.0
2017-06-01,2.033333333333333,11,11,1.0
2017-06-01,3.066666666666667,13,13,1.0
2017-06-01,4.066666666666666,8,8,1.0
2017-06-01,5.1,12,12,1.0
2017-06-01,6.1,12,12,1.0
2017-06-01,7.133333333333333,7,7,1.0
2017-06-01,8.166666666666666,4,4,1.0
2017-06-01,9.1,7,7,1.0
2017-06-01,10.133333333333333,10,10,1.0
2017-06-01,11.133333333333333,11,11,1.0
2017-06-01,12.166666666666666,5,5,1.0
2017-06-01,13.166666666666666,4,4,1.0
2017-06-01,14.2,6,6,1.0
2017-07-01,0.0,3894,3894,1.0
2017-07-01,1.0333333333333332,20,20,1.0
2017-07-01,2.066666666666667,14,14,1.0
2017-07-01,3.066666666666667,10,10,1.0
2017-07-01,4.1,11,11,1.0
2017-07-01,5.1,8,8,1.0
2017-07-01,6.133333333333333,12,12,1.0
2017-07-01,7.166666666666667,4,4,1.0
2017-07-01,8.1,7,7,1.0
2017-07-01,9.133333333333333,10,10,1.0
2017-07-01,10.133333333333333,9,9,1.0
2017-07-01,11.166666666666666,12,12,1.0
2017-07-01,12.166666666666666,5,5,1.0
2017-07-01,13.2,10,10,1.0
2017-08-01,0.0,4184,4184,1.0
2017-08-01,1.0333333333333332,29,29,1.0
2017-08-01,2.033333333333333,14,14,1.0
2017-08-01,3.066666666666667,11,11,1.0
2017-08-01,4.066666666666666,15,15,1.0
2017-08-01,5.1,22,22,1.0
2017-08-01,6.133333333333333,12,12,1.0
2017-08-01,7.066666666666666,11,11,1.0
2017-08-01,8.1,6,6,1.0
2017-08-01,9.1,6,6,1.0
2017-08-01,10.133333333333333,10,10,1.0
2017-08-01,11.133333333333333,8,8,1.0
2017-08-01,12.166666666666666,4,4,1.0
2017-09-01,0.0,4130,4130,1.0
2017-09-01,1.0,28,28,1.0
2017-09-01,2.033333333333333,22,22,1.0
2017-09-01,3.033333333333333,12,12,1.0
2017-09-01,4.066666666666666,19,19,1.0
2017-09-01,5.1,9,9,1.0
2017-09-01,6.033333333333333,9,9,1.0
2017-09-01,7.066666666666666,10,10,1.0
2017-09-01,8.066666666666666,12,12,1.0
2017-09-01,9.1,7,7,1.0
2017-09-01,10.1,11,11,1.0
2017-09-01,11.133333333333333,3,3,1.0
2017-10-01,0.0,4470,4470,1.0
2017-10-01,1.0333333333333332,31,31,1.0
2017-10-01,2.033333333333333,11,11,1.0
2017-10-01,3.066666666666667,4,4,1.0
2017-10-01,4.1,10,10,1.0
2017-10-01,5.033333333333333,9,9,1.0
2017-10-01,6.066666666666666,10,10,1.0
2017-10-01,7.066666666666666,16,16,1.0
2017-10-01,8.1,12,12,1.0
2017-10-01,9.1,9,9,1.0
2017-10-01,10.133333333333333,9,9,1.0
2017-11-01,0.0,7304,7304,1.0
2017-11-01,1.0,40,40,1.0
2017-11-01,2.033333333333333,28,28,1.0
2017-11-01,3.066666666666667,13,13,1.0
2017-11-01,4.0,14,14,1.0
2017-11-01,5.033333333333333,13,13,1.0
2017-11-01,6.033333333333333,8,8,1.0
2017-11-01,7.066666666666666,14,14,1.0
2017-11-01,8.066666666666666,10,10,1.0
2017-11-01,9.1,4,4,1.0
2017-12-01,0.0,5487,5487,1.0
2017-12-01,1.0333333333333332,14,14,1.0
2017-12-01,2.066666666666667,15,15,1.0
2017-12-01,3.0,19,19,1.0
2017-12-01,4.033333333333333,15,15,1.0
2017-12-01,5.033333333333333,11,11,1.0
2017-12-01,6.066666666666666,9,9,1.0
2017-12-01,7.066666666666666,3,3,1.0
2017-12-01,8.1,12,12,1.0
2018-01-01,0.0,7025,7025,1.0
2018-01-01,1.0333333333333332,24,24,1.0
2018-01-01,1.9666666666666668,27,27,1.0
2018-01-01,3.0,20,20,1.0
2018-01-01,4.0,20,20,1.0
2018-01-01,5.033333333333333,11,11,1.0
2018-01-01,6.033333333333333,12,12,1.0
2018-01-01,7.066666666666666,16,16,1.0
2018-02-01,0.0,6451,6451,1.0
2018-02-01,0.9333333333333333,25,25,1.0
2018-02-01,1.9666666666666668,25,25,1.0
2018-02-01,2.966666666666667,19,19,1.0
2018-02-01,4.0,17,17,1.0
2018-02-01,5.0,14,14,1.0
2018-02-01,6.033333333333333,13,13,1.0
2018-03-01,0.0,6965,6965,1.0
2018-03-01,1.0333333333333332,32,32,1.0
2018-03-01,2.033333333333333,22,22,1.0
2018-03-01,3.066666666666667,20,20,1.0
2018-03-01,4.066666666666666,9,9,1.0
2018-03-01,5.1,9,9,1.0
2018-04-01,0.0,6711,6711,1.0
2018-04-01,1.0,39,39,1.0
2018-04-01,2.033333333333333,21,21,1.0
2018-04-01,3.033333333333333,16,16,1.0
