month,revenue,prev_month_revenue,mom_growth_pct
2016-10-01,46566.71,,
2016-12-01,19.62,46566.71,-99.96
2017-01-01,127545.67,19.62,649979.87
2017-02-01,271298.65,127545.67,112.71
2017-03-01,414369.39,271298.65,52.74
2017-04-01,390952.18,414369.39,-5.65
2017-05-01,567066.73,390952.18,45.05
2017-06-01,490225.6,567066.73,-13.55
2017-07-01,566403.93,490225.6,15.54
2017-08-01,646000.61,566403.93,14.05
2017-09-01,701169.99,646000.61,8.54
2017-10-01,751140.27,701169.99,7.13
2017-11-01,1153528.05,751140.27,53.57
2017-12-01,843199.17,1153528.05,-26.9
2018-01-01,1078606.86,843199.17,27.92
2018-02-01,966510.88,1078606.86,-10.39
2018-03-01,1120678.0,966510.88,15.95
2018-04-01,1132933.95,1120678.0,1.09
2018-05-01,1128836.69,1132933.95,-0.36
2018-06-01,1012090.68,1128836.69,-10.34
2018-07-01,1027903.86,1012090.68,1.56
2018-08-01,985414.28,1027903.86,-4.13
